,AI,RAW,PM10,RH,TEMP
2019-09-16 23:00,8.069428571,5.949206349,6.447619048,37.80066667,27.38269841
2019-09-17 0:00,8.5,6.173501577,6.649842271,38.99962145,26.60958991
2019-09-17 1:00,6.228006329,3.981012658,4.351265823,37.84737342,25.8171519
2019-09-17 2:00,5.984069401,3.880126183,4.173501577,41.14157729,24.92940063
2019-09-17 3:00,6.112698413,4.082539683,4.415873016,43.67609524,24.19580952
2019-09-17 4:00,6.447142857,4.422222222,4.73015873,46.33374603,23.40853968
2019-09-17 5:00,7.511333333,5.46984127,5.895238095,48.09098413,22.68126984
2019-09-17 6:00,8.184253968,6.13968254,6.523809524,48.97371429,22.30257143
2019-09-17 7:00,8.50835443,6.458860759,7.028481013,49.22066456,22.24879747
2019-09-17 8:00,9.139113924,7.136075949,7.661392405,47.97848101,22.73022152
2019-09-17 9:00,10.62697161,8.331230284,9.03785489,44.83864353,23.7440694
2019-09-17 10:00,9.971766562,7.643533123,8.129337539,30.11908517,31.15832808
2019-09-17 11:00,9.644761905,6.349206349,6.742857143,21.1452381,36.68450794
2019-09-17 12:00,9.565396825,5.720634921,6.180952381,19.68031746,37.76066667
2019-09-17 13:00,11.37202532,5.518987342,5.943037975,15.61161392,41.25797468
2019-09-17 14:00,12.02537975,6.278481013,6.759493671,16.12503165,41.1371519
2019-09-17 15:00,11.60503165,6.882911392,7.28164557,17.91971519,39.71025316
2019-09-17 16:00,12.47946203,8.306962025,8.914556962,19.24525316,38.6146519
2019-09-17 17:00,12.11069401,8.312302839,8.892744479,19.61996845,37.94870662
2019-09-17 18:00,12.11100946,9.378548896,9.930599369,22.71914826,34.93936909
2019-09-17 19:00,11.42746835,9.053797468,9.528481013,27.8443038,31.445
2019-09-17 20:00,17.65704762,18.42539683,19.27301587,31.8731746,29.33955556
2019-09-17 21:00,16.21615142,17.13880126,17.92429022,34.90933754,29.00504732
2019-09-17 22:00,16.34939873,17.61392405,18.29113924,36.04012658,28.67990506
2019-09-17 23:00,15.43382911,16.87341772,17.7278481,39.69338608,28.11234177
2019-09-18 0:00,14.96946372,15.99684543,16.77917981,41.22451104,27.64044164
2019-09-18 1:00,16.59052117,19.80456026,20.94788274,43.41846906,27.30882736
2019-09-18 2:00,16.5180719,20.76143791,21.76470588,50.8745098,26.22434641
2019-09-18 3:00,17.14328076,21.95583596,22.98107256,51.90608833,25.70343849
2019-09-18 4:00,16.3511746,20.21904762,21.11111111,48.53914286,25.91438095
2019-09-18 5:00,16.29384858,20.66876972,21.79810726,51.49911672,25.13050473
2019-09-18 6:00,16.44700337,21.12121212,22.05723906,52.16282828,24.2373064
2019-09-18 7:00,15.90547468,19.90822785,20.90189873,52.62806962,23.42936709
2019-09-18 8:00,17.15933333,21.72380952,22.98412698,50.55606349,23.79428571
2019-09-18 9:00,17.60879747,20.93987342,22.26265823,45.22481013,24.75117089
2019-09-18 10:00,16.00542857,16.64761905,17.82222222,33.93714286,30.52092063
2019-09-18 11:00,16.98591772,15.84810127,16.79113924,25.77332278,35.60996835
